change_2017_24,country,major_area,region
1648.8,Venezuela,Latin America and the Caribbean,South America
1348.5,Egypt,Africa,Northern Africa
1263.9,Colombia,Latin America and the Caribbean,South America
1185.3,Kuwait,Asia,Western Asia
1108.2,Paraguay,Latin America and the Caribbean,South America
1103.6,Costa Rica,Latin America and the Caribbean,Central America
1100.2,Uzbekistan,Asia,Central Asia
1084.3,United Arab Emirates,Asia,Western Asia
1076.9,Peru,Latin America and the Caribbean,South America
1074.4,Guyana,Latin America and the Caribbean,South America
966.3,Jordan,Asia,Western Asia
958.9,Nicaragua,Latin America and the Caribbean,Central America
887.4,Brazil,Latin America and the Caribbean,South America
836.0,Ecuador,Latin America and the Caribbean,South America
793.9,Côte d'Ivoire,Africa,Western Africa
756.8,Chile,Latin America and the Caribbean,South America
737.3,Bolivia,Latin America and the Caribbean,South America
717.7,El Salvador,Latin America and the Caribbean,Central America
709.6,Honduras,Latin America and the Caribbean,Central America
644.0,Uruguay,Latin America and the Caribbean,South America
622.8,Palestine,Asia,Western Asia
604.2,Philippines,Asia,South-Eastern Asia
589.4,Saudi Arabia,Asia,Western Asia
568.8,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
544.2,Burkina Faso,Africa,Western Africa
531.8,Malaysia,Asia,South-Eastern Asia
520.9,Vietnam,Asia,South-Eastern Asia
519.9,Thailand,Asia,South-Eastern Asia
513.3,Qatar,Asia,Western Asia
490.5,Guatemala,Latin America and the Caribbean,Central America
487.7,Argentina,Latin America and the Caribbean,South America
487.1,Belize,Latin America and the Caribbean,Central America
446.3,Albania,Europe,Southern Europe
437.7,Nepal,Asia,Southern Asia
428.2,Brunei,Asia,South-Eastern Asia
423.2,Bahrain,Asia,Western Asia
418.9,Oman,Asia,Western Asia
418.2,Panama,Latin America and the Caribbean,Central America
413.7,Cyprus,Asia,Western Asia
403.7,DR Congo,Africa,Middle Africa
400.8,Israel,Asia,Western Asia
386.1,Mauritania,Africa,Western Africa
378.9,Saint Lucia,Latin America and the Caribbean,Caribbean
358.1,Iraq,Asia,Western Asia
348.3,Taiwan,Asia,Eastern Asia
345.8,Azerbaijan,Asia,Western Asia
343.9,Laos,Asia,South-Eastern Asia
328.6,Haiti,Latin America and the Caribbean,Caribbean
317.6,Cambodia,Asia,South-Eastern Asia
